StockCode,avg_daily_sales,on_hand_units,on_order_units,lead_time_days,reorder_point
21375,2.3508771929824563,37,49,8,18
21376,4.159090909090909,108,47,14,58
21377,5.630434782608695,90,83,13,73
21378,7.0,147,90,14,98
21379,5.827272727272727,151,5,17,99
21380,13.274406332453825,292,90,10,132
21381,14.337078651685394,415,8,5,71
21382,10.672413793103448,138,56,16,170
21383,11.187817258883248,212,30,13,145
21384,22.821428571428573,273,20,10,228
21385,28.356020942408378,510,89,8,226
21386,13.505882352941176,297,39,18,243
21387,8.333333333333334,225,44,8,66
21388,12.958333333333334,311,76,7,90
21389,12.22872340425532,158,48,11,134
21390,31.518731988472624,756,86,7,220
21391,9.97887323943662,109,19,6,59
21392,164.02173913043478,3936,91,14,2296
21393,127.90243902439025,2174,16,12,1534
21394,36.08108108108108,613,27,8,288
21395,31.242105263157896,812,40,12,374
21396,17.236363636363638,361,65,5,86
21397,15.977777777777778,447,24,19,303
21398,22.95,436,57,9,206
21399,25.29787234042553,455,40,17,430
21400,13.308641975308642,186,5,13,173
21401,14.227722772277227,213,74,5,71
21402,12.671641791044776,367,37,15,190
21403,17.30597014925373,190,5,17,294
21406,1.0,22,44,8,8
21407,4.431506849315069,66,74,10,44
21408,3.7593582887700534,52,13,14,52
21409,1.0,10,65,12,12
21410,2.8363636363636364,42,39,18,51
21411,5.870786516853933,88,2,7,41
21412,5.978260869565218,149,98,9,53
21413,64.53061224489795,838,96,11,709
21414,48.14705882352941,962,23,5,240
21415,4.35,78,18,19,82
21416,35.76190476190476,429,17,11,393
21417,4.735849056603773,132,63,17,80
21418,3.0793650793650795,52,87,16,49
21419,74.05882352941177,1036,34,15,1110
21420,4.0,52,61,12,48
21421,21.333333333333332,320,0,12,256
21422,24.496124031007753,269,99,13,318
21424,7.958333333333333,230,24,10,79
21425,5.674157303370786,113,44,16,90
21426,10.936170212765957,142,48,10,109
21427,4.970588235294118,119,97,6,29
21428,9.873287671232877,148,88,7,69
21429,16.559895833333332,430,15,8,132
21430,13.127840909090908,196,97,8,105
21431,9.098159509202453,254,92,12,109
21432,6.077419354838709,66,18,18,109
21437,12.309090909090909,295,22,5,61
21438,16.217391304347824,324,82,14,227
21439,12.01595744680851,204,24,18,216
21440,7.044776119402985,197,15,8,56
21441,7.798319327731092,171,53,15,116
21442,8.176470588235293,171,72,16,130
21443,12.85,179,0,17,218
21444,9.387096774193548,140,41,15,140
21445,13.684684684684685,177,18,15,205
21446,6.763440860215054,189,96,8,54
21447,11.193548387096774,324,33,5,55
21448,5.584795321637427,55,79,7,39
21450,4.333333333333333,125,54,9,39
21452,6.970260223048327,181,17,10,69
21454,6.992537313432836,146,33,13,90
21455,7.385245901639344,177,88,13,96
21456,13.924528301886792,139,44,13,181
21457,12.924528301886792,297,5,15,193
21458,11.462686567164178,171,20,5,57
21459,6.414634146341464,89,69,16,102
21460,4.346153846153846,86,95,13,56
21461,3.727272727272727,48,47,17,63
21462,2.8095238095238093,61,38,12,33
21463,5.942731277533039,118,30,6,35
21464,3.011173184357542,36,9,17,51
21465,5.183006535947713,51,29,15,77
21466,4.213636363636364,63,17,5,21
21467,5.256410256410256,141,59,5,26
21468,5.395161290322581,102,87,16,86
21469,6.812865497076023,95,72,10,68
21470,4.534979423868313,86,94,13,58
21471,6.248888888888889,131,14,11,68
21472,5.528795811518324,60,3,9,49
21473,2.1216216216216215,46,62,15,31
21474,3.0,51,39,6,18
21475,1.0,11,8,5,5
21476,1.9722222222222223,57,8,6,11
21477,12.409090909090908,124,25,5,62
21478,3.4,47,3,7,23
21479,26.92207792207792,484,80,10,269
21480,16.764705882352942,435,15,17,285
21481,23.09039548022599,415,14,12,277
21482,7.628865979381444,152,98,7,53
21484,13.642857142857142,327,51,14,191
21485,19.12594458438287,286,68,13,248
21486,7.54054054054054,90,4,14,105
21488,16.0,416,19,9,144
21489,4.0,56,78,11,44
21490,53.083333333333336,1114,17,12,637
21491,32.70454545454545,883,1,7,228
21493,38.857142857142854,893,92,6,233
21494,14.518939393939394,290,12,6,87
21495,45.32727272727273,815,3,9,407
21496,25.0,275,41,19,475
21497,53.84615384615385,1130,73,5,269
21498,62.59016393442623,751,60,19,1189
21499,47.0375,564,94,6,282
21500,47.470238095238095,474,7,17,806
21503,31.051724137931036,527,66,13,403
21504,21.360869565217392,363,62,11,234
21506,28.108527131782946,562,8,19,534
21507,23.098314606741575,415,93,19,438
21508,19.928783382789316,279,10,10,199
21509,23.824657534246576,547,98,13,309
21511,20.0,240,41,11,220
21518,11.53125,161,12,18,207
21519,20.897727272727273,292,35,15,313
21520,9.666666666666666,270,12,9,87
21523,15.002169197396963,345,11,19,285
21524,10.552208835341366,137,36,13,137
21525,2.0,44,73,10,20
21527,10.453125,198,72,10,104
21528,4.181395348837209,112,51,15,62
21529,4.836538461538462,82,70,8,38
21530,7.0,119,1,17,119
21531,9.861985472154963,157,55,16,157
21532,18.743243243243242,318,59,5,93
21533,7.158458244111349,164,22,9,64
21534,3.5801526717557253,100,39,15,53
21535,14.29535864978903,214,63,13,185
21536,4.911111111111111,49,84,17,83
21537,5.317460317460317,127,22,12,63
21538,31.902439024390244,319,28,12,382
21539,6.928753180661578,180,77,9,62
21540,18.633802816901408,186,89,16,298
21541,14.338345864661655,344,50,13,186
21542,14.896825396825397,163,68,7,104
21543,25.818181818181817,593,94,7,180
21544,18.95,322,88,5,94
21545,10.25,174,30,13,133
21547,7.336734693877551,205,49,10,73
21548,8.317073170731707,133,19,6,49
21549,14.394736842105264,403,54,12,172
21550,5.9,88,80,16,94
21551,10.5625,158,1,13,137
21552,6.875,82,24,13,89
21553,3.4615384615384617,55,12,6,20
21554,10.4375,292,91,6,62
21555,3.828828828828829,65,69,17,65
21556,7.688995215311005,146,66,11,84
21557,4.179372197309417,121,57,15,62
21558,11.159151193633953,267,98,8,89
21559,16.653846153846153,399,81,17,283
21560,2.0,20,74,5,10
21561,8.810089020771514,255,83,12,105
21562,9.826086956521738,157,63,6,58
21563,10.513207547169811,136,68,18,189
21564,8.445887445887445,126,82,7,59
21576,4.6923076923076925,46,85,9,42
21577,8.548494983277592,119,58,18,153
21578,8.57976653696498,85,59,7,60
21579,9.106194690265486,118,82,11,100
21580,4.106060606060606,45,61,11,45
21581,7.865771812080537,149,15,18,141
21582,11.7,163,87,6,70
21584,15.836134453781513,300,67,17,269
21585,1.0,10,14,17,17
21586,15.560240963855422,233,88,11,171
21587,18.327433628318584,403,54,15,274
21588,16.839195979899497,404,34,10,168
21589,17.484375,227,54,14,244
21590,20.402366863905325,448,13,13,265
21591,20.936842105263157,607,48,17,355
21592,20.763250883392224,498,82,13,269
21593,21.075757575757574,358,99,6,126
21594,1.0,14,6,11,11
21595,1.0,24,29,9,9
21596,1.6666666666666667,21,82,17,28
21609,8.468926553672317,177,48,10,84
21610,6.948717948717949,152,88,5,34
21611,6.756756756756757,74,15,11,74
21612,7.931818181818182,222,50,10,79
21613,4.7518796992481205,133,71,8,38
21614,11.220689655172414,145,81,5,56
21615,10.336283185840708,134,91,13,134
21616,9.520661157024794,190,79,8,76
21617,6.177777777777778,86,82,6,37
21618,6.345454545454546,184,41,12,76
21619,8.8359375,176,16,6,53
21620,7.820143884892087,148,62,9,70
21621,13.96761133603239,237,44,15,209
21622,12.127868852459017,181,76,10,121
21623,19.95145631067961,299,6,15,299
21624,6.632958801498128,112,26,17,112
21625,3.9203187250996017,94,9,12,47
21626,9.777777777777779,224,33,15,146
21627,1.8224299065420562,36,35,5,9
21628,2.05,43,24,5,10
21629,1.84375,40,5,16,29
21630,1.8,30,23,8,14
21631,4.510204081632653,121,17,9,40
21632,3.2195121951219514,32,86,17,54
21633,2.734375,65,5,19,51
21634,27.671875,470,28,17,470
21635,9.95,199,24,13,129
21636,12.071428571428571,253,54,15,181
21637,18.106666666666666,380,80,18,325
21638,8.360655737704919,108,45,11,91
21639,32.375,809,23,11,356
21640,13.650306748466258,177,74,12,163
21641,17.0,238,25,19,323
21642,24.516666666666666,343,97,9,220
21643,9.876623376623376,167,27,9,88
21644,9.290598290598291,176,2,5,46
21645,10.09375,262,74,18,181
21647,8.233009708737864,148,37,13,107
21648,17.818181818181817,498,60,10,178
21649,26.3125,605,77,13,342
21650,21.36,363,50,7,149
21651,13.343137254901961,240,89,9,120
21652,13.575757575757576,271,47,6,81
21653,13.397849462365592,133,20,14,187
21654,15.773333333333333,362,53,9,141
21655,20.529411764705884,287,55,19,390
21656,8.491379310344827,195,93,17,144
21657,2.519607843137255,32,58,17,42
21658,7.491582491582491,74,71,17,127
21659,2.142857142857143,60,50,19,40
21661,2.9875,50,19,18,53
21662,3.0568181818181817,73,95,12,36
21663,2.814814814814815,67,85,15,42
21664,4.161290322580645,74,58,6,24
21665,16.27777777777778,293,70,12,195
21666,22.564102564102566,428,8,8,180
21667,2.9747899159663866,86,0,14,41
21668,23.974537037037038,431,28,14,335
21669,25.73722627737226,308,62,19,489
21670,20.427251732101617,592,71,5,102
21671,24.142493638676847,482,55,17,410
21672,25.86046511627907,387,67,9,232
21673,23.75886524822695,261,34,17,403
21674,4.777777777777778,76,2,5,23
21675,8.865671641791044,239,6,11,97
21676,8.902985074626866,97,26,12,106
21677,10.167464114832535,264,0,7,71
21678,7.835616438356165,156,90,7,54
21679,19.101960784313725,401,79,11,210
21680,14.434343434343434,404,70,8,115
21681,3.426470588235294,54,43,7,23
21682,4.140740740740741,120,86,19,78
21683,6.8321167883211675,102,40,12,81
21684,17.852631578947367,178,74,7,124
21685,1.5,39,41,17,25
21686,1.9696969696969697,39,32,18,35
21687,6.194805194805195,167,49,11,68
21688,6.961832061068702,181,62,6,41
21689,6.218181818181818,99,99,15,93
21690,3.909090909090909,101,36,15,58
21691,4.293103448275862,124,58,5,21
21692,5.456521739130435,98,80,16,87
21693,8.216981132075471,213,98,10,82
21694,8.825396825396826,255,47,12,105
21695,7.0,119,4,5,35
21696,7.88421052631579,204,47,17,134
21697,62.0,992,95,14,868
21698,5.353535353535354,53,2,16,85
21699,36.0,792,46,13,468
21700,20.501618122977348,574,61,19,389
21702,439.3333333333333,12301,98,7,3075
21703,41.88793103448276,1089,13,7,293
21704,53.1733746130031,1169,62,8,425
21705,17.72027972027972,443,60,15,265
21706,6.773869346733668,115,30,19,128
21707,7.027972027972028,196,94,5,35
21708,5.605504587155964,151,16,13,72
21709,6.757281553398058,67,23,15,101
21710,7.5625,173,22,7,52
21711,6.063492063492063,169,81,17,103
21713,11.155102040816326,267,49,14,156
21714,15.35125448028674,414,77,8,122
21715,11.6875,128,78,5,58
21716,12.322259136212624,320,78,8,98
21717,14.0,378,69,17,238
21718,13.801369863013699,207,26,5,69
21719,7.743589743589744,216,14,9,69
21720,11.483870967741936,149,49,9,103
21721,9.159663865546218,91,35,18,164
21722,4.957142857142857,84,7,15,74
21723,7.1570247933884295,114,78,11,78
21724,6.916666666666667,83,2,18,124
21725,8.107142857142858,154,61,12,97
21726,8.4140625,159,46,8,67
21728,8.277777777777779,231,76,11,91
21729,6.526315789473684,150,97,8,52
21730,6.126373626373627,67,87,7,42
21731,55.2772466539197,552,95,19,1050
21732,19.270833333333332,520,60,10,192
21733,33.86319845857418,541,31,8,270
21734,3.5925925925925926,61,93,18,64
21735,4.561497326203209,45,12,7,31
21736,7.423076923076923,89,0,19,141
21737,3.5535714285714284,60,33,19,67
21738,4.795454545454546,115,61,13,62
21739,4.116666666666666,57,78,9,37
21740,9.136363636363637,109,77,17,155
21741,5.116788321167883,143,92,18,92
21742,2.8193548387096774,28,97,11,31
21743,10.915254237288135,261,81,16,174
21744,7.241935483870968,123,70,18,130
21745,8.356037151702786,91,92,10,83
21746,19.817275747508305,237,30,14,277
21747,16.0078125,368,63,19,304
21749,28.004950495049506,644,24,9,252
21750,5.421052631578948,108,37,11,59
21752,2.566666666666667,64,13,15,38
21754,13.277972027972028,172,7,10,132
21755,10.297445255474452,298,90,14,144
21756,5.0062111801242235,70,53,6,30
21757,2.1621621621621623,49,1,17,36
21758,1.8243243243243243,45,80,17,31
21759,2.727272727272727,73,77,17,46
21760,1.25,20,88,7,8
21761,2.8260869565217392,53,55,6,16
21763,2.5294117647058822,40,93,16,40
21764,1.8888888888888888,18,92,7,13
21765,3.533333333333333,98,83,5,17
21767,1.0,25,84,12,12
21768,4.601851851851852,128,60,10,46
21769,2.9285714285714284,38,21,17,49
21770,10.313793103448276,278,34,6,61
21772,1.0,11,15,12,12
21773,7.047210300429184,70,49,10,70
21774,6.360594795539034,152,42,11,69
21775,4.065116279069767,56,16,15,60
21777,5.601990049751244,162,79,5,28
21779,20.066666666666666,401,57,11,220
21780,14.5,275,1,7,101
21781,2.7291666666666665,30,3,15,40
21784,2.027972027972028,24,84,16,32
21785,24.753086419753085,519,38,12,297
21786,25.673539518900345,744,97,10,256
21787,51.832191780821915,725,93,8,414
21788,19.508670520231213,273,5,15,292
21789,16.40449438202247,246,80,12,196
21790,48.65,875,88,13,632
21791,35.85336048879837,394,68,14,501
21792,4.371681415929204,91,68,6,26
21793,4.152941176470589,49,19,19,78
21794,4.7218543046357615,136,63,10,47
21795,6.391304347826087,134,15,9,57
21796,5.491525423728813,142,50,9,49
21801,22.064935064935064,419,36,14,308
21802,23.28191489361702,535,72,15,349
21803,24.124324324324323,627,68,7,168
21804,6.351063829787234,171,41,16,101
21805,33.65151515151515,942,56,12,403
21806,33.01219512195122,858,65,18,594
21807,29.587155963302752,680,8,12,355
21808,10.11111111111111,182,99,16,161
21809,22.84090909090909,388,85,9,205
21810,46.39333333333333,510,63,12,556
21811,30.19047619047619,664,85,14,422
21812,5.551724137931035,88,21,19,105
21813,6.57258064516129,118,33,12,78
21814,9.054054054054054,181,54,7,63
21815,9.56338028169014,219,28,6,57
21816,11.105263157894736,144,37,13,144
21817,19.61627906976744,431,96,6,117
21818,24.828402366863905,273,17,13,322
21819,29.82170542635659,417,70,8,238
21820,5.977443609022556,119,64,16,95
21821,6.922330097087379,103,96,17,117
21822,10.978260869565217,296,0,6,65
21823,20.39669421487603,387,87,14,285
21824,23.77777777777778,309,3,5,118
21825,13.327272727272728,239,3,8,106
21826,10.778443113772456,161,81,13,140
21827,8.186274509803921,90,26,16,130
21828,7.416107382550336,192,42,13,96
21829,53.505338078291814,749,58,8,428
21830,39.47422680412371,592,31,13,513
21832,12.643939393939394,265,32,19,240
21833,23.632575757575758,449,27,16,378
21836,3.0365853658536586,45,54,10,30
21837,3.8125,64,99,5,19
21838,1.0,11,59,14,14
21839,2.7162162162162162,57,69,17,46
21841,4.08411214953271,89,61,18,73
21842,20.40740740740741,326,79,10,204
21843,11.717017208413003,222,33,13,152
21844,16.284848484848485,358,86,17,276
21845,19.244274809160306,500,87,6,115
21846,8.561497326203208,196,55,10,85
21847,5.982758620689655,65,12,6,35
21849,5.861111111111111,117,55,8,46
21850,5.518518518518518,55,17,19,104
21851,5.607142857142857,157,53,12,67
21852,1.0,13,76,17,17
21853,1.0,28,42,11,11
21854,1.0,20,38,15,15
21857,1.0,17,60,16,16
21858,1.0,20,41,17,17
21860,1.0,13,80,13,13
21864,6.762773722627737,175,78,11,74
21865,3.878787878787879,62,17,5,19
21866,7.016181229773463,119,22,6,42
21867,5.2,62,53,10,52
21868,22.916666666666668,252,29,11,252
21869,19.75,474,97,7,138
21870,19.128930817610062,267,57,13,248
21871,29.16751269035533,291,67,17,495
21872,21.305439330543933,276,66,19,404
21873,12.5625,301,70,11,138
21874,17.54016620498615,508,17,18,315
21875,24.007042253521128,672,6,10,240
21876,15.997175141242938,191,39,17,271
21877,34.194647201946474,991,69,10,341
21878,23.569620253164558,471,85,5,117
21879,15.21359223300971,395,64,17,258
21880,10.61111111111111,233,67,9,95
21881,13.875,277,48,14,194
21882,10.626262626262626,116,51,7,74
21883,14.493827160493828,260,28,11,159
21884,11.138461538461538,122,20,14,155
21888,8.979591836734693,161,89,7,62
21889,28.970588235294116,521,77,9,260
21890,10.869158878504672,184,8,11,119
21891,31.868766404199476,828,46,18,573
21892,19.91348600508906,199,75,7,139
21893,11.466666666666667,229,41,17,194
21894,6.804123711340206,115,50,17,115
21895,8.538461538461538,162,55,14,119
21896,10.899543378995434,174,50,6,65
21897,9.730337078651685,116,69,10,97
21898,8.98913043478261,107,19,12,107
21899,17.70822281167109,478,87,8,141
21900,19.4009324009324,271,26,13,252
21901,15.871134020618557,333,37,16,253
21902,17.62828947368421,370,71,16,282
21903,11.726962457337883,328,64,19,222
21904,6.154471544715447,92,53,12,73
21905,7.764423076923077,85,23,11,85
21906,6.288732394366197,132,46,18,113
21907,12.716748768472906,356,70,11,139
21908,19.91358024691358,278,82,7,139
21910,11.58695652173913,243,85,18,208
21911,12.419512195121952,322,62,10,124
21912,9.063106796116505,235,56,17,154
21913,4.908695652173913,93,54,17,83
21914,34.83064516129032,905,59,9,313
21915,88.29440389294403,2119,98,5,441
21916,27.054054054054053,568,61,15,405
21917,26.091205211726383,652,29,7,182
21918,35.26086956521739,987,92,17,599
21919,1.2,20,21,16,19
21922,6.166666666666667,160,74,5,30
21923,4.493333333333333,62,83,8,35
21924,3.7951807228915664,94,28,14,53
21925,9.764227642276422,146,40,7,68
21926,8.773913043478261,149,41,15,131
21927,8.235294117647058,222,97,8,65
21928,46.66923076923077,980,64,13,606
21929,48.96367112810707,1175,30,7,342
21930,26.05058365758755,468,29,16,416
21931,50.4006908462867,1108,17,10,504
21932,11.76595744680851,282,16,10,117
21933,12.984227129337539,246,37,11,142
21934,11.57934508816121,289,13,13,150
21935,16.535962877030162,264,86,16,264
21936,18.193473193473192,473,88,11,200
21937,14.186851211072664,226,78,18,255
21942,11.221476510067115,258,55,5,56
21943,5.008474576271187,120,21,19,95
21944,12.598591549295774,201,66,12,151
21945,11.149700598802395,200,55,9,100
21946,10.775862068965518,301,18,13,140
21947,7.827102803738318,195,56,14,109
21948,10.971291866028707,186,43,17,186
21949,13.819148936170214,373,97,19,262
21950,14.066666666666666,379,34,16,225
21955,10.513440860215054,304,0,9,94
21967,52.87837837837838,846,51,9,475
21972,7.644927536231884,91,84,19,145
21973,10.308641975308642,278,92,16,164
21974,16.657210401891252,316,69,16,266
21975,60.72093023255814,971,36,18,1092
21976,30.673684210526314,797,64,6,184
21977,99.22300884955752,2282,50,16,1587
21980,80.55784061696659,966,0,15,1208
21981,82.92405063291139,1741,90,7,580
21982,87.66666666666667,1928,20,14,1227
21983,23.80544747081712,261,52,13,309
21984,83.11803278688525,997,15,11,914
21985,57.484234234234236,804,60,5,287
21986,44.62251655629139,892,53,7,312
21987,22.28125,378,39,16,356
21988,26.903780068728523,564,25,6,161
21989,22.04123711340206,352,79,5,110
21990,8.792114695340501,211,91,13,114
21991,5.627551020408164,146,64,12,67
21992,9.567723342939482,124,99,19,181
21993,9.10223642172524,200,73,9,81
22016,1.0,27,63,15,15
22021,13.205607476635514,132,42,16,211
22023,17.45614035087719,436,16,6,104
22024,18.090604026845636,397,58,5,90
22025,18.045454545454547,342,22,11,198
22026,15.146616541353383,318,6,17,257
22027,25.386516853932584,279,43,15,380
22028,19.76323987538941,237,52,15,296
22029,36.143737166324435,686,70,19,686
22030,34.233870967741936,376,78,6,205
22031,9.533898305084746,209,33,5,47
22032,10.76923076923077,236,45,6,64
22033,14.842592592592593,400,67,11,163
22034,26.508196721311474,318,77,11,291
22035,16.0748031496063,257,77,14,225
22036,17.0,391,15,10,170
22037,20.50581395348837,594,70,9,184
22038,25.555555555555557,664,95,7,178
22039,30.357142857142858,637,18,18,546
22040,32.73255813953488,818,1,16,523
22041,23.860759493670887,501,9,7,167
22042,19.977011494252874,479,49,15,299
22043,23.623655913978496,448,80,17,401
22044,32.333333333333336,517,11,16,517
22045,46.60897435897436,1351,69,13,605
22046,37.280701754385966,521,21,8,298
22047,41.25,412,31,13,536
22048,30.934065934065934,804,83,8,247
22049,48.611111111111114,583,0,6,291
22050,32.35294117647059,711,53,19,614
22051,29.672897196261683,682,57,8,237
22052,32.94392523364486,889,69,10,329
22053,60.68,788,82,10,606
22054,7.8478260869565215,211,17,9,70
22055,13.567493112947659,189,5,19,257
22056,20.233333333333334,505,44,19,384
22057,16.813186813186814,168,96,5,84
22058,6.842105263157895,157,22,7,47
22059,16.091205211726383,386,22,9,144
22060,5.682170542635659,102,25,10,56
22061,6.659509202453988,159,76,18,119
22062,6.794642857142857,176,6,5,33
22063,9.066929133858268,117,78,18,163
22064,17.02577319587629,357,43,18,306
22065,42.772277227722775,598,26,13,556
22066,16.674757281553397,233,25,18,300
22067,9.321608040201005,186,96,7,65
22068,5.398058252427185,80,78,14,75
22069,5.2896174863387975,84,35,17,89
22070,7.677824267782427,176,54,7,53
22071,7.65,153,63,15,114
22072,7.808441558441558,171,90,6,46
22073,7.585714285714285,83,56,12,91
22074,11.056410256410256,176,68,19,210
22075,15.472361809045227,448,60,17,263
22076,9.374501992031872,121,1,7,65
22077,34.0,578,54,10,340
22078,12.56782334384858,364,96,6,75
22079,13.196850393700787,369,79,11,145
22080,13.266211604095563,291,86,17,225
22081,7.184331797235023,165,37,8,57
22082,16.70574712643678,317,79,13,217
22083,26.076045627376427,521,77,18,469
22084,26.838414634146343,295,28,14,375
22085,13.357894736842105,240,25,13,173
22086,114.65359477124183,2980,34,11,1261
22087,26.238390092879257,314,78,19,498
22088,13.789968652037617,206,66,16,220
22089,10.372781065088757,145,86,12,124
22090,30.69485294117647,429,28,7,214
22091,13.942982456140351,334,33,15,209
22092,8.481818181818182,220,96,9,76
22093,12.612903225806452,227,40,6,75
22094,14.945378151260504,179,40,14,209
22095,16.0972972972973,466,22,11,177
22096,12.079710144927537,314,70,17,205
22097,10.920634920634921,207,2,12,131
22098,12.733333333333333,152,57,13,165
22099,9.92056074766355,267,31,15,148
22100,9.220183486238533,248,30,15,138
22101,19.68041237113402,511,81,11,216
22102,34.111111111111114,409,42,14,477
22103,27.28125,327,6,19,518
22104,13.043956043956044,195,0,14,182
22105,14.122448979591837,310,60,17,240
22106,7.3768115942028984,177,13,12,88
22107,5.511111111111111,99,51,16,88
22108,2.980952380952381,38,95,13,38
22109,9.875739644970414,227,5,10,98
22110,9.808270676691729,137,9,16,156
22111,24.01965601965602,264,70,16,384
22112,25.26255707762557,505,89,14,353
22113,21.732075471698113,391,97,6,130
22114,32.89295774647887,394,29,6,197
22115,9.084905660377359,163,99,8,72
22116,5.208860759493671,62,20,19,98
22117,9.915730337078651,109,59,13,128
22118,4.565714285714286,95,80,11,50
22119,4.45771144278607,84,96,6,26
22120,3.945736434108527,71,73,12,47
22121,7.962365591397849,191,62,15,119
22122,8.830645161290322,150,41,11,97
22123,4.851851851851852,67,50,13,63
22124,2.591304347826087,51,63,12,31
22125,10.53225806451613,115,75,7,73
22127,29.896551724137932,717,55,5,149
22128,24.987261146496817,374,79,6,149
22129,24.406015037593985,414,40,19,463
22130,50.45077720207254,706,31,18,908
22131,13.54780361757106,338,14,17,230
22132,12.767175572519085,344,61,6,76
22133,10.57510729613734,158,26,8,84
22134,10.556053811659194,147,27,10,105
22135,7.2825112107623315,182,80,8,58
22136,10.045454545454545,221,63,13,130
22137,15.15,212,58,8,121
22138,18.22178988326848,400,57,10,182
22139,20.054820415879018,521,1,10,200
22141,25.26206896551724,682,35,14,353
22142,29.054054054054053,493,70,15,435
22143,9.291666666666666,204,12,14,130
22144,30.023391812865498,840,14,5,150
22145,14.674157303370787,176,88,12,176
22146,26.660377358490567,453,86,16,426
22147,27.527896995708154,302,59,7,192
22148,21.87162162162162,371,21,19,415
22149,25.971311475409838,571,62,17,441
22150,17.801822323462414,391,89,10,178
22151,69.07769423558898,690,96,7,483
22152,35.867816091954026,538,74,19,681
22153,34.16167664670659,956,73,15,512
22154,43.644171779141104,1091,24,6,261
22155,33.66477272727273,572,47,19,639
22156,17.689655172413794,176,42,9,159
22157,22.051948051948052,551,37,18,396
22158,36.52439024390244,657,40,5,182
22161,23.193103448275863,510,44,13,301
22162,6.96,139,87,15,104
22163,9.064285714285715,199,39,11,99
22164,7.0,133,96,7,49
22165,4.979591836734694,64,16,8,39
22166,3.4108527131782944,51,87,17,57
22167,3.026315789473684,48,56,10,30
22168,3.183574879227053,44,1,7,22
22169,5.659203980099503,113,95,16,90
22170,6.853448275862069,150,61,11,75
22171,8.222513089005236,230,87,17,139
22172,3.230769230769231,61,8,10,32
22173,12.140096618357488,230,67,13,157
22174,16.73856209150327,334,80,16,267
22175,7.042471042471043,112,16,19,133
22176,5.832512315270936,157,49,9,52
22177,4.4520547945205475,57,93,8,35
22178,71.57321428571429,787,39,7,501
22179,5.730878186968838,131,57,14,80
22180,3.409090909090909,75,74,5,17
22181,12.710743801652892,266,84,7,88
22182,4.065217391304348,65,20,7,28
22183,3.9594594594594597,43,17,11,43
22184,3.536363636363636,77,54,11,38
22185,13.296928327645052,305,28,17,226
22186,11.386363636363637,296,23,19,216
22187,12.9079754601227,232,73,16,206
22188,31.5640243902439,820,16,5,157
22189,33.932914046121596,576,17,7,237
22190,8.092485549132949,89,41,17,137
22191,5.6685878962536025,124,83,12,68
22192,4.470219435736677,53,44,13,58
22193,5.858895705521473,146,81,11,64
22194,2.683453237410072,40,16,11,29
22195,13.045801526717558,365,72,16,208
22196,14.506607929515418,232,13,19,275
22197,157.1918294849023,2986,48,15,2357
22198,26.853479853479854,483,28,12,322
22199,6.455830388692579,71,94,10,64
22200,5.225806451612903,125,3,15,78
22201,3.6357142857142857,50,81,7,25
22202,6.0,78,19,19,114
22203,5.154411764705882,149,46,5,25
22204,4.037593984962406,52,8,11,44
22206,1.4,37,76,5,7
22207,10.483108108108109,136,78,5,52
22208,9.135135135135135,237,26,13,118
22209,7.293814432989691,153,14,17,123
22210,8.091836734693878,210,91,14,113
22211,7.655,145,18,11,84
22212,9.042696629213482,90,89,17,153
22214,7.32,197,51,15,109
22215,4.465020576131687,120,25,17,75
22216,14.391752577319588,331,88,8,115
22217,14.475609756097562,347,25,10,144
22218,7.289940828402367,153,25,5,36
22219,18.972815533980583,246,45,11,208
22220,3.6519607843137254,43,91,16,58
22221,6.908396946564886,200,48,19,131
22222,5.356115107913669,112,81,10,53
22223,4.905405405405405,78,95,8,39
22224,8.66058394160584,173,52,11,95
22227,15.55813953488372,155,2,7,108
22228,9.489010989010989,142,65,5,47
22229,7.192857142857143,172,96,8,57
22230,10.487341772151899,251,41,7,73
22231,10.118483412322275,283,18,5,50
22232,8.6640625,173,16,6,51
22233,7.135338345864661,78,32,15,107
22236,4.419607843137255,101,75,9,39
22241,21.63681592039801,238,48,19,411
22242,21.91705069124424,284,55,12,263
22243,31.4672131147541,818,62,5,157
22244,18.03030303030303,216,2,8,144
22245,18.027237354085603,396,48,18,324
22246,7.304054054054054,131,54,8,58
22247,9.178294573643411,146,25,9,82
22248,7.616541353383458,182,98,11,83
22249,10.623376623376624,212,71,17,180
22250,8.133689839572192,235,51,16,130
22251,8.784037558685446,96,99,12,105
22252,9.56,229,6,19,181
22253,16.338983050847457,375,45,10,163
22254,11.553719008264462,335,45,5,57
22255,10.128205128205128,202,99,11,111
22256,10.366666666666667,124,15,7,72
22257,8.551020408163266,222,23,19,162
22258,14.911111111111111,313,60,17,253
22259,10.925925925925926,262,53,17,185
22260,9.61111111111111,240,61,17,163
22261,12.835365853658537,179,0,10,128
22262,9.83495145631068,285,48,19,186
22263,9.186813186813186,137,24,12,110
22264,17.82300884955752,499,9,11,196
22265,15.10655737704918,211,79,14,211
22266,20.5,246,15,10,205
22267,15.659574468085106,156,57,13,203
22268,15.202380952380953,228,71,13,197
22269,9.162650602409638,219,28,5,45
22270,6.061946902654867,66,91,5,30
22271,12.318987341772152,147,5,5,61
22272,6.959390862944162,180,15,12,83
22273,18.160493827160494,381,19,16,290
22274,10.628169014084508,286,79,17,180
22275,5.5,132,70,18,99
